,Open,High,Low,Close,Volume,MA_5,MA_10,MA_20,MA_50,RSI,MACD,MACD_signal,BB_middle,BB_upper,BB_lower,Volatility,Price_Change,Volume_MA,Future_Return,Crash_Label
2022-01-01,404.37371322408984,407.0047407406644,400.1295979369088,404.37371322408984,1290998,,,,,,0.0,0.0,,,,,,,0.03633133755325413,0
2022-01-02,404.37371322408984,405.6262076895116,401.49934815811156,403.65987795989537,5855920,,,,,,-0.016015534773600848,-0.008897519318667137,,,,,-0.001765286023423851,,0.07199179561234703,0
2022-01-03,403.65987795989537,411.7170790007074,403.9004608447321,409.2924553627702,2828022,,,,,,0.1542589180535856,0.057969873047010206,,,,,0.013953770762013873,,0.07452380324554198,0
2022-01-04,409.2924553627702,425.8165419501096,421.33483605355303,422.169040408534,7367712,,,,,,0.6928267814021751,0.2730298013516054,,,,,0.03146059712816052,,0.03300998793497545,0
2022-01-05,422.169040408534,420.8182521780535,411.88532218214834,420.61416333863514,2409854,412.02185005878493,,,,,0.9090186178802924,0.4622220956545227,,,,,-0.003683067494466674,,0.0491163631796252,0
2022-01-06,420.61416333863514,422.5473734577748,416.17700512567865,419.06515109689707,8997043,414.96013763334633,,,,,0.955656032284196,0.5959701268773286,,,,,-0.0036827391389836484,,0.04428773717452805,0
2022-01-07,419.06515109689707,433.8903983767126,425.2082134783546,432.7200773908891,1181360,420.77217751954515,,,,,1.5876953894178882,0.8469493340038124,,,,,0.03258425631014772,,0.0029253314422343912,0
2022-01-08,432.7200773908891,440.0154302112255,438.924085063685,439.7944857761101,3444026,426.8725836022131,,,,,2.3224266580267567,1.2015342813237542,,,,,0.01634869458305821,,-0.007445314803447567,0
2022-01-09,439.7944857761101,437.1468993252722,433.2639699269088,436.10483533893984,3515419,429.6597425882943,,,,,2.6128205447963637,1.527548409613184,,,,,-0.008389487718699074,,-0.03634892669220624,0
2022-01-10,436.10483533893984,445.2780365693925,439.1379428328897,441.2732013436697,6532410,433.7915501893011,422.9067001240431,,,,3.0470237463397893,1.8679990904621906,,,,,0.011851200871719314,,-0.07953823134731819,0
2022-01-11,441.2732013436697,440.1486915865799,436.22267974681324,437.62459836768033,5138286,437.50343964345785,426.2317886384021,,,,3.1236724560395714,2.1427332480131787,,,,,-0.008268353856249244,,-0.08137352428889688,0
2022-01-12,437.62459836768033,437.2642186531377,432.14510652429084,433.9859270389668,9333100,437.7566095730734,429.2643935463092,,,,2.9374947908717104,2.3134146964070545,,,,,-0.008314595071405084,,-0.09150943630110364,0
2022-01-13,433.9859270389668,438.70668147571763,434.23779550374036,436.5200773806866,7893728,437.10172789398865,431.98715574810086,,,,2.903602833013906,2.438319011043535,,,,,0.00583924543132075,,-0.09020365516083217,0
2022-01-14,436.5200773806866,424.3610968425968,417.84190178740823,420.25289264908804,4584197,433.93133935601827,431.79554097215623,,,60.178589583023246,1.8977387703375825,2.3252292213524193,,,,,-0.037265604893156,,-0.07120405583300327,0
